,,,,,,
Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2020-08-20,63,8351,3426715,412,406,412
2020-08-19,168,25812,10604297,415,408,409
2020-08-18,118,16446,6833721,418,411,417
2020-08-17,146,20840,8552541,415,406,415
2020-08-16,199,34679,14255478,416,405,410
2020-08-13,132,27971,11636379,425,414,415
2020-08-12,106,25454,10678938,422,414,419
2020-08-11,143,26345,11098187,427,418,419
2020-08-10,201,30437,12802718,432,413,425
2020-08-09,162,33276,13555825,412,399,412
2020-08-06,185,33954,13697184,408,401,406
2020-08-05,202,37294,15120480,419,402,404
2020-08-03,179,26260,10785469,418,405,411
2020-08-02,367,64556,26822481,422,406,406
2020-07-30,161,34944,14753134,429,415,427
2020-07-29,221,61718,26266840,432,421,422
2020-07-28,151,30474,13174150,435,428,432
2020-07-27,222,52250,22780805,440,430,433
2020-07-26,259,60056,26005338,436,422,434
2020-07-23,206,33121,14073464,430,418,428
2020-07-22,263,55050,23499388,445,420,426
2020-07-21,382,70227,30578724,446,427,431
2020-07-20,717,152858,68092921,475,424,442
2020-07-19,5,90,37840,432,408,432
2020-07-16,262,49834,19851056,405,389,400
2020-07-15,177,34899,13356317,388,376,385
2020-07-14,68,9391,3518686,378,372,375
2020-07-13,129,38001,14255102,382,373,375
2020-07-12,114,20839,7743924,377,368,375
2020-07-09,94,10849,3992157,371,360,368
2020-07-08,122,15958,5884211,375,362,368
2020-07-07,153,16559,6193253,379,367,374
2020-07-06,101,25485,9168079,368,349,365
2020-07-05,165,29844,10573328,365,345,356
2020-07-02,78,13518,4961644,394,343,345
2020-07-01,53,16073,6031916,384,350,380
2020-06-30,33,4499,1531567,352,320,350
2020-06-29,96,12955,4203324,341,313,329
2020-05-13,6,240,83430,350,347,347
2020-05-12,6,470,168590,361,357,357
2020-03-22,35,5639,2049363,376,362,368
2020-03-19,214,34900,12872297,385,360,376
2020-03-18,211,54659,20168668,385,361,374
2020-03-17,219,45920,17239532,380,370,378
2020-03-16,173,34352,13129517,391,371,382
2020-03-15,316,67992,26126277,394,378,382
2020-03-12,308,66328,26206574,410,390,397
2020-03-11,280,73399,29189227,407,378,406
2020-03-10,149,44333,17141923,397,380,380
2020-03-05,233,51446,20980918,416,400,405
2020-03-04,254,59890,24900666,425,410,416
2020-03-03,385,83824,35385793,445,390,425
